id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r56,Abacos Tacos,Torchy's Tacos,amenity,0,0.5,32.8418273,-96.7713826,"Torchy's Tacos, 5600 SMU Boulevard, Dallas, TX 75206, United States of America",review
r57,Spice Wing Lewisville,Red Wing,amenity,0,0.5,33.0051978,-96.9730493,"Red Wing, East Round Grove Road, Lewisville, TX 75019, United States of America",review
r58,FireBawks Hot Chicken,Adolphus Hotel,amenity,0,0,32.7798272,-96.8000118,"Adolphus Hotel, Commerce Street, Dallas, TX 75226, United States of America",review
r61,Ardy's Mediterranean Fusion,Ardy's Mediterranean Grill,amenity,0,0.75,32.9618042,-96.8261066,"Ardy's Mediterranean Grill, 15615 Quorum Drive, Addison, TX 75001, United States of America",review
r62,Shaahi Biryani,Hyderabadi Biryani & BBQ,amenity,0,0.5,32.870641,-96.7660815,"Hyderabadi Biryani & BBQ, Greenville Avenue, Dallas, TX 75231, United States of America",review
r63,Cairo Gyro & Grill,Tarboosh Gyro & Grill,amenity,0,0.667,32.9751681,-96.6982889,"Tarboosh Gyro & Grill, East Campbell Road, Richardson, TX 75081, United States of America",review
r64,Yummy Deli,Jason's Deli,amenity,0,0.5,32.7806104,-96.800005,"Jason's Deli, 1409 Main Street, Dallas, TX 75202, United States of America",review
r65,Noorsha Cafe and Bakery,Corner Bakery,amenity,0,0.5,32.8671885,-96.7727872,"Corner Bakery, 8687 North Central Expressway, Dallas, TX 75225, United States of America",review
r66,Noorsha Cafe & Catering,Royal Catering,amenity,0,0.5,32.9419777,-96.7444283,"Royal Catering, 800 South Central Expressway, Richardson, TX 75081, United States of America",review
r67,Chef Sun's Noodle and Dumpling Plano,King Ramen & Dumpling,amenity,0,0.333,32.9992598,-96.9628229,"King Ramen & Dumpling, East State Highway 121, Lewisville, TX 75019, United States of America",review
r70,Northlake Mo:Mo Food Truck,NorthLake Automotive,amenity,0,0.5,32.865612,-96.7116078,"NorthLake Automotive, 10150 Shoreview Road, Dallas, TX 75238, United States of America",review
r71,Mad Dogs DFW,The Mad Hatter,amenity,0,0.333,33.0013544,-96.7050173,"The Mad Hatter, 120 West CityLine Drive, Richardson, TX 75082, United States of America",review
r74,Samosa Express & Grill by Halal Bites,Pho Express Noodles & Grill,amenity,0,0.5,32.9533151,-96.8850726,"Pho Express Noodles & Grill, 2012 East Belt Line Road, Carrollton, TX 75006, United States of America",review
r75,Tabon Bakery,San Martín Bakery,amenity,0,0.5,32.8021633,-96.7998878,"San Martín Bakery, 3120 McKinney Avenue, Dallas, TX 75205, United States of America",review
r77,Nizams Kitchen Irving,Kitchen 101,amenity,0,0.5,32.8741741,-96.9446535,"Kitchen 101, West Las Colinas Boulevard, Irving, TX 75039, United States of America",review
